Author Surname   ,Author Forename     ,Order ,Book Title                                                                  ,Genre                 ,read|tone@example.com ,read|simon@example.com ,rating|tone@example.com ,rating|simon@example.com ,Edition                         ,Co Author
Rowling          ,J. K.               ,5     ,Harry Potter and the Order of the Phoenix                                   ,Fantasy               ,Y                     ,Y                      ,                      9 ,                     8   ,Paperback Adult Boxset          ,
Rowling          ,J. K.               ,6     ,Harry Potter and the Half-Blood Prince                                      ,Fantasy               ,Y                     ,Y                      ,                      9 ,                     9   ,Paperback Adult Boxset          ,
Rowling          ,J. K.               ,7     ,Harry Potter and the Deathly Hallows                                        ,Fantasy               ,Y                     ,Y                      ,                      9 ,                     7   ,Paperback Adult Boxset          ,
Rowling          ,J. K.               ,8     ,Harry Potter and the Philosophers Stone : Illustrated Edition               ,Fantasy               ,Y                     ,Y                      ,                      9 ,                     9   ,Hardback Illustrated            ,Jim Kay
Rowling          ,J. K.               ,9     ,Harry Potter and the Chamber of Secrets : Illustrated Edition               ,Fantasy               ,Y                     ,Y                      ,                      9 ,                     9   ,Hardback Illustrated            ,Jim Kay
Rowling          ,J. K.               ,10    ,Harry Potter and the Prisoner of Azkaban : Illustrated Edition              ,Fantasy               ,Y                     ,Y                      ,                      9 ,                     9   ,Hardback Illustrated            ,Jim Kay
Rowling          ,J. K.               ,11    ,Harry Potter and the Goblet of Fire : Illustrated Edition                   ,Fantasy               ,P                     ,P                      ,                        ,                         ,Hardback Illustrated            ,Jim Kay
Rowling          ,J. K.               ,      ,Harry Potter and the Cursed Child                                           ,Fantasy               ,N                     ,N                      ,                        ,                         ,Hardback                        ,John Tiffany and Jack Thorne
Rowling          ,J. K.               ,      ,The Tales of Beedle the Bard                                                ,Fantasy               ,Y                     ,N                      ,                      4 ,                         ,Hardback                        ,
Roy              ,Aryndhati           ,      ,The God of Small Things                                                     ,Historical Fiction    ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Saad             ,Layla F             ,      ,Me and White Supremacy                                                      ,Non-Fiction           ,P                     ,N                      ,                        ,                         ,Hardback                        ,
Sacks            ,Oliver              ,      ,The Man Who Mistook His Wife for a Hat                                      ,Non-Fiction           ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Salinger         ,J. D.               ,      ,The Catcher in the Rye                                                      ,Coming-of-Age Fiction ,P                     ,N                      ,                        ,                         ,Paperback                       ,
Sanders          ,Ella Frances        ,      ,Lost in Translation                                                         ,Non-Fiction           ,Y                     ,Y                      ,                      7 ,                         ,Hardback                        ,
Scott Card       ,Orson               ,      ,Ender's Game                                                                ,Sci-fi                ,Y                     ,Y                      ,                      8 ,                     8   ,Paperback                       ,
Secombe          ,Andy                ,      ,The Last House in the Galaxy                                                ,Sci-fi                ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Seethaler        ,Robert              ,      ,A Whole Life                                                                ,Fiction               ,Y                     ,N                      ,                      8 ,                         ,Paperback                       ,
