Author Surname   ,Author Forename     ,Order ,Book Title                                                                  ,Genre                 ,read|tone@example.com ,read|simon@example.com ,rating|tone@example.com ,rating|simon@example.com ,Edition                         ,Co Author
Blackie          ,Sharon              ,      ,"Foxfire, Wolfskin, and other stories of shape-shifting women"              ,Fiction               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Blackman         ,Malorie             ,      ,The Stuff of Nightmares                                                     ,Horror                ,Y                     ,N                      ,                        ,                         ,Paperback                       ,
Blackthorn       ,Thomas              ,      ,Edge                                                                        ,Sci-fi                ,Y                     ,N                      ,                      6 ,                         ,Paperback                       ,
Bloom            ,Rachel              ,      ,"I want to be where the normal people are, essays and other stuff"          ,Non-Fiction           ,Y                     ,N                      ,                      6 ,                         ,Paperback                       ,
Brett            ,Peter V.            ,1     ,The Demon Cycle | The Painted Man                                           ,Fantasy               ,Y                     ,Y                      ,                     10 ,                     9   ,Paperback                       ,
Brett            ,Peter V.            ,2     ,The Demon Cycle | The Desert Spear                                          ,Fantasy               ,Y                     ,Y                      ,                     10 ,                     9   ,Hardback                        ,
Brett            ,Peter V.            ,3     ,The Demon Cycle | The Daylight War                                          ,Fantasy               ,Y                     ,Y                      ,                     10 ,                     9   ,Hardback Signed                 ,
Brett            ,Peter V.            ,4     ,The Demon Cycle | The Skull Throne                                          ,Fantasy               ,Y                     ,Y                      ,                     10 ,                     9   ,Hardback Signed                 ,
Brett            ,Peter V.            ,5     ,The Demon Cycle | The Core                                                  ,Fantasy               ,Y                     ,Y                      ,                     10 ,                     8.5 ,Hardback Signed                 ,
Brett            ,Peter V.            ,1     ,Nightfall Saga | The Desert Prince                                          ,Fantasy               ,Y                     ,P                      ,                      9 ,                         ,Hardback Signed                 ,
Bronte           ,Charlotte           ,      ,Jane Eyre                                                                   ,Satire                ,N                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Bronte           ,Charlotte           ,      ,Jane Eyre                                                                   ,Satire                ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Bronte           ,Emily               ,      ,Wuthering Heights                                                           ,Gothic Fiction        ,N                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Bronte           ,Sisters             ,      ,The Complete Novels of the Bronte Sisters                                   ,Anthology             ,N                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Bros Ltd.        ,Stephenson          ,      ,Snow White Magic Mirror Book                                                ,Classic               ,Y                     ,N                      ,                        ,                         ,Hardback 3d Book in Case        ,
Brown            ,Jeffrey             ,      ,Cats Are Weird                                                              ,Comic / Graphic Novel ,Y                     ,Y                      ,                        ,                         ,Hardback                        ,
Browning         ,Robert              ,      ,The Major Works                                                             ,Poetry                ,N                     ,N                      ,                        ,                         ,Paperback Oxford Classic        ,
Budrys           ,Algis               ,      ,Rogue Moon                                                                  ,Sci-fi                ,Y                     ,N                      ,                      8 ,                         ,Paperback                       ,
Burgess          ,Anthony             ,      ,A Clockwork Orange                                                          ,Sci-fi                ,Y                     ,Y                      ,                      6 ,                     7   ,Paperback                       ,
Butcher          ,Jim                 ,1     ,The Codex Alera | Furies of Calderon                                        ,Fantasy               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Butcher          ,Jim                 ,2     ,The Codex Alera | Academ's Fury                                             ,Fantasy               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Butcher          ,Jim                 ,3     ,The Codex Alera | Cursor's Fury                                             ,Fantasy               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Butcher          ,Jim                 ,4     ,The Codex Alera | Captain's Fury                                            ,Fantasy               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Cain             ,Susan               ,      ,Quiet                                                                       ,Self Help             ,P                     ,N                      ,                        ,                         ,Paperback                       ,
Carrell          ,J. L.               ,1     ,The Shakespeare Secret                                                      ,Thriller              ,Y                     ,N                      ,                      4 ,                         ,Paperback                       ,
Carrell          ,J. L.               ,2     ,The Shakespeare Curse                                                       ,Thriller              ,Y                     ,N                      ,                      4 ,                         ,Paperback                       ,
Carroll          ,Lewis               ,      ,Alice's Adventures in Wonderland and Through the Looking-Glass              ,Fantasy               ,Y                     ,N                      ,                      5 ,                         ,Hardback Clothbound             ,
Carter           ,Diana               ,      ,Zozu the Robot                                                              ,Children's            ,N                     ,N                      ,                        ,                         ,Paperback gifted                ,
Carty-Williams   ,Candice             ,      ,Queenie                                                                     ,Fiction               ,Y                     ,N                      ,                      8 ,                         ,Paperback                       ,
Carver           ,Tania               ,      ,The Surrogate                                                               ,Thriller              ,Y                     ,N                      ,                      3 ,                         ,Paperback                       ,
Cavendish        ,Lucy                ,      ,Jack and Jill                                                               ,Fiction               ,Y                     ,N                      ,                      4 ,                         ,Paperback                       ,
Cloonan          ,Becky               ,      ,24Seven                                                                     ,Comic / Graphic Novel ,N                     ,Y                      ,                        ,                     7   ,Paperback                       ,Phil Hester
Coleridge        ,Wordsworth and      ,      ,Lyrical Ballads                                                             ,Poetry                ,P                     ,N                      ,                        ,                         ,Paperback Oxford Classic        ,
Collins          ,Suzanne             ,1     ,The Hunger Games | The Hunger Games                                         ,YA Dystopia           ,Y                     ,Y                      ,                      4 ,                     5   ,Paperback                       ,
Collins          ,Suzanne             ,2     ,The Hunger Games | Catching Fire                                            ,YA Dystopia           ,Y                     ,Y                      ,                      4 ,                         ,Paperback                       ,
Collins          ,Suzanne             ,3     ,The Hunger Games | Mocking Jay                                              ,YA Dystopia           ,Y                     ,N                      ,                      4 ,                         ,Paperback                       ,
Collins          ,Tim                 ,      ,Diary of a Grumpy Old Git                                                   ,Humour                ,Y                     ,N                      ,                      3 ,                         ,Hardback                        ,
Collins          ,Wilkie              ,      ,The Woman in White                                                          ,Mystery               ,N                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Cooper           ,Susan               ,      ,The Dark Is Rising Sequence | Over Sea Under Stone                          ,YA Fiction            ,N                     ,N                      ,                        ,                         ,Paperback gifted                ,
Cornmell         ,Dave                ,      ,364 Days of Tedium or What Santa Gets Up To On His Days Off                 ,Comic / Graphic Novel ,Y                     ,N                      ,                      5 ,                         ,Hardback                        ,
Cotton           ,Fearne              ,      ,Happy                                                                       ,Self Help             ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Coupland         ,Douglas             ,      ,Microserfs                                                                  ,Fiction               ,N                     ,Y                      ,                        ,                     7   ,Paperback                       ,
Cox              ,Brian               ,      ,Why does E=mc(squared)?                                                     ,Non-Fiction           ,N                     ,N                      ,                        ,                         ,Paperback                       ,Jeff Forshaw
Cox              ,Josephine           ,      ,Songbird                                                                    ,Romance               ,Y                     ,N                      ,                      4 ,                         ,Paperback Gifted                ,
Criado-Perez     ,Caroline            ,      ,Invisible Women: Exposing Data Bias in a World Designed for Men             ,Non-Fiction           ,Y                     ,N                      ,                      9 ,                         ,Paperback                       ,
Crilley          ,Mark                ,a1    ,Miki Falls | Spring                                                         ,Manga                 ,Y                     ,Y                      ,                      9 ,                     7   ,Paperback                       ,
Crilley          ,Mark                ,b1    ,Brody's Ghost 1                                                             ,Manga                 ,Y                     ,N                      ,                      3 ,                         ,Paperback                       ,
Crilley          ,Mark                ,a2    ,Miki Falls | Summer                                                         ,Manga                 ,Y                     ,Y                      ,                      9 ,                     7   ,Paperback                       ,
Crilley          ,Mark                ,b2    ,Brody's Ghost 2                                                             ,Manga                 ,Y                     ,N                      ,                      3 ,                         ,Paperback                       ,
Crilley          ,Mark                ,a3    ,Miki Falls | Autumn                                                         ,Manga                 ,Y                     ,Y                      ,                      9 ,                     7   ,Paperback                       ,
Crilley          ,Mark                ,a4    ,Miki Falls | Winter                                                         ,Manga                 ,Y                     ,P                      ,                      9 ,                         ,Paperback                       ,
Cruz             ,Angie               ,      ,Dominicana                                                                  ,Historical Fiction    ,Y                     ,N                      ,                      9 ,                         ,Paperback | Exclusive Edition   ,
Curtis           ,Scarlett            ,      ,Feminists Don't Wear Pink and Other Lies                                    ,Non-Fiction           ,N                     ,N                      ,                        ,                         ,Hardback                        ,
Dante            ,Dante               ,      ,Inferno                                                                     ,Poetry                ,N                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Dante            ,Dante               ,      ,The Divine Comedy                                                           ,Anthology             ,N                     ,N                      ,                        ,                         ,Hardback Leatherbound           ,
Daré             ,Abi                 ,      ,The Girl With The Louding Voice                                             ,Fiction               ,P                     ,N                      ,                        ,                         ,Paperback                       ,
Darwin           ,Charles             ,      ,The Origin of Species and The Voyage of the Beagle                          ,Science               ,N                     ,N                      ,                        ,                         ,Paperback gifted                ,
Dashner          ,James               ,1     ,Maze Runner | The Maze Runner                                               ,YA Dystopia           ,N                     ,N                      ,                        ,                         ,Paperback Set                   ,
Dashner          ,James               ,2     ,Maze Runner | The Scorch Trials                                             ,YA Dystopia           ,N                     ,N                      ,                        ,                         ,Paperback Set                   ,
Dashner          ,James               ,3     ,Maze Runner | The Death Cure                                                ,YA Dystopia           ,N                     ,N                      ,                        ,                         ,Paperback Set                   ,
Dashner          ,James               ,4     ,Maze Runner | The Kill Order                                                ,YA Dystopia           ,N                     ,N                      ,                        ,                         ,Paperback Set                   ,
Delaney          ,Joseph              ,1     ,The Spooks | Apprentice                                                     ,Fantasy               ,Y                     ,N                      ,                      4 ,                         ,Paperback                       ,
Delaney          ,Joseph              ,2     ,The Spooks | Curse                                                          ,Fantasy               ,Y                     ,N                      ,                      4 ,                         ,Paperback                       ,
Delaney          ,Joseph              ,3     ,The Spooks | Secret                                                         ,Fantasy               ,Y                     ,N                      ,                      4 ,                         ,Paperback                       ,
Delaney          ,Joseph              ,4     ,The Spooks | Battle                                                         ,Fantasy               ,Y                     ,N                      ,                      4 ,                         ,Paperback                       ,
Delaney          ,Joseph              ,5     ,The Spooks | Mistake                                                        ,Fantasy               ,Y                     ,N                      ,                      4 ,                         ,Paperback                       ,
Diangelo         ,Robin               ,      ,White Fragility: Why it's so hard for white people to talk about racism     ,Non-Fiction           ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Dickens          ,Charles             ,      ,A Christmas Carol                                                           ,Classic               ,Y                     ,N                      ,                        ,                         ,Hardback 2nd Hand               ,
Dickens          ,Charles             ,      ,A Christmas Carol and Other Christmas Writings                              ,Classic               ,Y                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Dickens          ,Charles             ,      ,A Tale of Two Cities                                                        ,Historical Fiction    ,N                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Dickens          ,Charles             ,      ,Bleak House                                                                 ,Classic               ,N                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Dickens          ,Charles             ,      ,David Copperfield                                                           ,Classic               ,N                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Dickens          ,Charles             ,      ,Great Expectations                                                          ,Gothic Fiction        ,N                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Dickens          ,Charles             ,      ,Hard Times                                                                  ,Fiction               ,Y                     ,N                      ,                     10 ,                         ,Hardback Clothbound             ,
Dickens          ,Charles             ,      ,Hard Times                                                                  ,Fiction               ,Y                     ,N                      ,                     10 ,                         ,Hardback Leatherbound 2nd Hand  ,
Dickens          ,Charles             ,      ,Oliver Twist                                                                ,Satire                ,Y                     ,N                      ,                      7 ,                         ,Hardback Clothbound             ,
Dickens          ,Charles             ,      ,Oliver Twist                                                                ,Satire                ,Y                     ,N                      ,                      7 ,                         ,Hardback Leatherbound 2nd Hand  ,
Dickens          ,Charles             ,      ,The Old Curiosity Shop                                                      ,Satire                ,N                     ,N                      ,                        ,                         ,Hardback Leatherbound 2nd Hand  ,
Dickens Hawksley ,Lucinda             ,      ,Charles Dickens Bicentenary 1812-2012                                       ,Biography             ,Y                     ,N                      ,                        ,                         ,Hardback                        ,
Dolby            ,Karen               ,      ,Oranges and Lemons                                                          ,Poetry                ,P                     ,N                      ,                        ,                         ,Hardback                        ,
Donoghue         ,Emma                ,      ,Room                                                                        ,Psychological Fiction ,Y                     ,N                      ,                      9 ,                         ,Paperback                       ,
Dorlandus        ,Petrus              ,      ,Everyman and Medieval Miracle Plays                                         ,Play                  ,Y                     ,N                      ,                        ,                         ,Paperback                       ,"Various, A. C. Cawley (editor)"
Doyle            ,Sir Arthur Conan    ,      ,The Complete Sherlock Holmes                                                ,Anthology             ,P                     ,N                      ,                        ,                         ,Hardback Leatherbound           ,
Doyle            ,Sir Arthur Conan    ,      ,The Complete Stories of Sherlock Holmes                                     ,Anthology             ,P                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Duffield         ,George              ,      ,Gentleman George?                                                           ,Autobiography         ,N                     ,N                      ,                        ,                         ,Hardback                        ,Michael Tanner
Durrell          ,Geraldo             ,      ,My Family and Other Animals                                                 ,Autobiography         ,N                     ,N                      ,                        ,                         ,Paperback Gifted                ,
Edda             ,Elder               ,      ,The Elder Edda : A Book of Viking Lore                                      ,Poetry                ,Y                     ,N                      ,                        ,                         ,Paperback                       ,
Eddo-Lodge       ,Reni                ,      ,Why I'm No Longer Talking To White People About Race                        ,Non-Fiction           ,Y                     ,N                      ,                      9 ,                         ,Paperback                       ,
Edwards          ,Martin              ,1     ,Rachel Savernake Series: Gallows Court                                      ,Fiction               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Edwards          ,Martin              ,2     ,Rachel Savernake Series: Mortmain Hall                                      ,Fiction               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
El-Wardany       ,Salma               ,      ,These Impossible Things                                                     ,Fiction               ,Y                     ,N                      ,                     10 ,                         ,Hardback                        ,
Emezi            ,Akwaeke             ,      ,Freshwater                                                                  ,Fiction               ,Y                     ,N                      ,                     10 ,                         ,Paperback                       ,
Emezi            ,Akwaeke             ,      ,Pet                                                                         ,YA Fiction            ,Y                     ,N                      ,                      9 ,                         ,Paperback                       ,
Emezi            ,Akwaeke             ,      ,The Death of Vivek Oji                                                      ,Fiction               ,Y                     ,N                      ,                      9 ,                         ,Paperback                       ,
Erwid            ,Martin              ,      ,One Upon an Algorithm                                                       ,Science               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Evaristo         ,Bernardine          ,      ,"Girl, Woman, Other"                                                        ,Fiction               ,Y                     ,N                      ,                     10 ,                         ,Paperback                       ,
Evaristo         ,Bernadine           ,      ,Soul Tourists                                                               ,Fiction               ,Y                     ,P                      ,                      6 ,                         ,Paperback                       ,
Farmer           ,Nancy               ,1     ,The House of the Scorpion                                                   ,YA Fiction            ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Farmer           ,Nancy               ,2     ,The Lord of Opium                                                           ,YA Fiction            ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Fforde           ,Jasper              ,      ,The Constant Rabbit                                                         ,Fantasy               ,Y                     ,Y                      ,                     10 ,                     9   ,Paperback                       ,
Fforde           ,Jasper              ,      ,The Eyre Affair                                                             ,Fiction               ,Y                     ,N                      ,                      5 ,                         ,Paperback gifted                ,
Filer            ,Nathan              ,      ,The Shock of the Fall                                                       ,Psychological Fiction ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Fitzgerald       ,F. Scott            ,      ,The Great Gatsby                                                            ,Fiction               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Flaubert         ,Gustave             ,      ,Madame Bovary                                                               ,Drama                 ,N                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Flavell          ,Linda & Roger       ,      ,Dictionary Series | English Down the Ages                                   ,Reference             ,N                     ,N                      ,                        ,                         ,Paperback Set                   ,
Flavell          ,Linda & Roger       ,      ,Dictionary Series | Idioms                                                  ,Reference             ,N                     ,N                      ,                        ,                         ,Paperback Set                   ,
Flavell          ,Linda & Roger       ,      ,Dictionary Series | Proverbs                                                ,Reference             ,N                     ,N                      ,                        ,                         ,Paperback Set                   ,
Flavell          ,Linda & Roger       ,      ,Dictionary Series | Word Origins                                            ,Reference             ,N                     ,N                      ,                        ,                         ,Paperback Set                   ,
Fletcher         ,Carrie Hope         ,      ,in the time we lost                                                         ,Fiction               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Forsyth          ,Mark                ,      ,The Elements of Eloquence                                                   ,Non-Fiction           ,N                     ,N                      ,                        ,                         ,Hardback                        ,
Forsyth          ,Mark                ,      ,The Etymologicon                                                            ,Non-Fiction           ,P                     ,N                      ,                        ,                         ,Hardback Set                    ,
Forsyth          ,Mark                ,      ,The Horologicon                                                             ,Non-Fiction           ,N                     ,N                      ,                        ,                         ,Hardback Set                    ,
Fowles           ,John                ,      ,The French Lieutenant's Woman                                               ,Fiction               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Francis          ,"Gavin, Dr"         ,      ,"Recovery, The Lost Art of Convalescence "                                  ,Self Help             ,N                     ,N                      ,                        ,                         ,                                ,
Gallagher        ,Fred                ,1     ,Megatokyo 1                                                                 ,Manga                 ,Y                     ,N                      ,                        ,                         ,Paperback                       ,Rodney Caston
Gallagher        ,Fred                ,2     ,Megatokyo 2                                                                 ,Manga                 ,Y                     ,N                      ,                        ,                         ,Paperback                       ,Rodney Caston
Gallagher        ,Fred                ,3     ,Megatokyo 3                                                                 ,Manga                 ,Y                     ,N                      ,                        ,                         ,Paperback                       ,
Gallagher        ,Fred                ,4     ,Megatokyo 4                                                                 ,Manga                 ,Y                     ,N                      ,                        ,                         ,Paperback                       ,
Gallagher        ,Fred                ,5     ,Megatokyo 5                                                                 ,Manga                 ,Y                     ,N                      ,                        ,                         ,Paperback                       ,
Gardner          ,Lisa                ,      ,Hide                                                                        ,Thriller              ,Y                     ,N                      ,                        ,                         ,Paperback 2nd Hand              ,
Gay              ,John                ,      ,The Beggar's Opera                                                          ,Play                  ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Given            ,Florence            ,      ,Women Don't Owe You Pretty                                                  ,Non-Fiction           ,Y                     ,N                      ,                      7 ,                         ,                                ,
Golding          ,William             ,      ,Lord of the Flies                                                           ,Psychological Fiction ,N                     ,N                      ,                        ,                         ,Paperback Gifted                ,
Goldsmith        ,Oliver              ,      ,The Vicar of Wakefield                                                      ,Satire                ,N                     ,N                      ,                        ,                         ,Hardback Leatherbound 2nd Hand  ,
Green            ,John                ,      ,An Abundance of Katherines                                                  ,YA Fiction            ,N                     ,N                      ,                        ,                         ,Paperback Set                   ,
Green            ,John                ,      ,Looking for Alaska                                                          ,YA Fiction            ,N                     ,N                      ,                        ,                         ,Paperback Set                   ,
Green            ,John                ,      ,Paper Towns                                                                 ,YA Fiction            ,N                     ,N                      ,                        ,                         ,Paperback Set                   ,
Green            ,John                ,      ,The Fault in Our Stars                                                      ,YA Fiction            ,N                     ,N                      ,                        ,                         ,Paperback Set                   ,
Green            ,John                ,      ,"Will Grayson, Will Grayson"                                                ,YA Fiction            ,N                     ,N                      ,                        ,                         ,Paperback Set                   ,
Green            ,Katie               ,      ,More Than Yarn                                                              ,Anthology             ,Y                     ,Y                      ,                      7 ,                     7   ,Paperback                       ,
Gregory          ,Philippa            ,      ,The White Queen                                                             ,Historical Fiction    ,N                     ,N                      ,                        ,                         ,Paperback Gifted                ,
Grimm            ,Brothers            ,      ,Grimm's Complete Fairytales                                                 ,Anthology             ,P                     ,N                      ,                        ,                         ,Hardback Leatherbound           ,
Gross            ,Kate                ,      ,Late Fragments: Everything I Want to Tell You (About this Magnificent Life) ,Non-Fiction           ,N                     ,N                      ,                        ,                         ,Hardback                        ,
Gruen            ,Sara                ,      ,Water for Elephants                                                         ,Romance               ,Y                     ,N                      ,                      8 ,                         ,Paperback                       ,
Haddon           ,Mark                ,      ,The Curious Incident of the Dog in the Night-Time                           ,Fiction               ,N                     ,P                      ,                        ,                         ,Paperback                       ,
Haley            ,Allan               ,      ,"Alphabet : The History, Evolution, and Design of the Letters We Use Today" ,History               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Hamilton         ,Nathan              ,      ,Dear World & Everyone In It                                                 ,Poetry                ,Y                     ,N                      ,                        ,                         ,Paperback                       ,
Hardy            ,Jayne               ,      ,Making Space                                                                ,Self Help             ,Y                     ,N                      ,                      7 ,                         ,Paperback                       ,
Hardy            ,Thomas              ,      ,Thomas Hardy: Five Novels                                                   ,Classic               ,N                     ,N                      ,                        ,                         ,Paperback Collection            ,
Hare             ,David               ,      ,Murmuring Judges                                                            ,Play                  ,Y                     ,Y                      ,                      8 ,                     7   ,Paperback Annotated             ,
Harkness         ,Deborah             ,1     ,All Souls | A Discovery of Witches                                          ,Fantasy               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Harkness         ,Deborah             ,2     ,All Souls | Shadow of Night                                                 ,Fantasy               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Harkness         ,Deborah             ,3     ,All Souls | The Book of Life                                                ,Fantasy               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Harrap           ,Simon               ,      ,"RSPB Pocket Guide to British Birds, 2nd edition"                           ,Reference             ,P                     ,P                      ,                        ,                         ,Paperback                       ,
Hartley          ,L. P.               ,      ,The Go Between                                                              ,Classic               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Hensher          ,Philip              ,      ,The Missing Ink                                                             ,Non-Fiction           ,N                     ,N                      ,                        ,                         ,Hardback                        ,
Herbert          ,Frank               ,      ,Dune                                                                        ,Sci-fi                ,P                     ,P                      ,                        ,                         ,Paperback                       ,
Hill             ,Greg & Gina         ,      ,On the Run                                                                  ,Autobiography         ,Y                     ,N                      ,                        ,                         ,Paperback 2nd Hand              ,
Hill             ,Susan               ,      ,Dolly                                                                       ,Horror                ,N                     ,N                      ,                        ,                         ,Hardback                        ,
Hill             ,Susan               ,      ,The Mist in the Mirror                                                      ,Horror                ,N                     ,N                      ,                        ,                         ,Hardback                        ,
Hill             ,Susan               ,      ,The Small Hand                                                              ,Horror                ,Y                     ,N                      ,                        ,                         ,Hardback                        ,
Hill             ,Susan               ,      ,The Woman in Black                                                          ,Horror                ,N                     ,N                      ,                        ,                         ,Hardback                        ,
Hobb             ,Robin               ,1     ,The Farseer | Assassin's Apprentice                                         ,Fantasy               ,Y                     ,Y                      ,                     10 ,                     9   ,Paperback 2nd Hand Gifted       ,
Hobb             ,Robin               ,2     ,The Farseer | Royal Assassin                                                ,Fantasy               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Hobb             ,Robin               ,3     ,The Farseer | Assassin's Quest                                              ,Fantasy               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Hobb             ,Robin               ,1     ,The Tawny Man | Fool's Errand                                               ,Fantasy               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Hoffman          ,Jilliane            ,      ,Pretty Little Things                                                        ,Thriller              ,Y                     ,N                      ,                        ,                         ,Paperback                       ,
Hoffman          ,Paul                ,1     ,The Left Hand of God                                                        ,Fantasy               ,Y                     ,N                      ,                        ,                         ,Paperback                       ,
Hoffman          ,Paul                ,2     ,The Last Four Things                                                        ,Fantasy               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Homes            ,A.M.                ,      ,May we be Forgiven                                                          ,Fiction               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Honeyman         ,Gail                ,      ,Eleanor Oliphant is Completely Fine                                         ,Fiction               ,Y                     ,N                      ,                      7 ,                         ,Paperback 2nd hand              ,
Hopper           ,Gilly               ,      ,Intermission Part One and Part Two                                          ,Non-Fiction           ,N                     ,N                      ,                        ,                         ,Paper back box set              ,The Pound Project.
Hosseini         ,Khaled              ,      ,A Thousand Splendid Suns                                                    ,Fiction               ,Y                     ,N                      ,                      8 ,                         ,Paperback                       ,
Hosseini         ,Khaled              ,      ,And the Mountains Echoed                                                    ,Historical Fiction    ,N                     ,N                      ,                        ,                         ,Hardback                        ,
Hosseini         ,Khaled              ,      ,The Kite Runner                                                             ,Historical Fiction    ,Y                     ,Y                      ,                      8 ,                     7   ,Paperback Annotated             ,
Howey            ,Hugh                ,1     ,Wool | Wool                                                                 ,Sci-fi                ,Y                     ,Y                      ,                      9 ,                     9   ,Paperback Set                   ,
Howey            ,Hugh                ,2     ,Wool | Shift                                                                ,Sci-fi                ,Y                     ,Y                      ,                      9 ,                     8   ,Paperback Set                   ,
Howey            ,Hugh                ,2     ,Wool | Shift                                                                ,Sci-fi                ,Y                     ,Y                      ,                      9 ,                     8   ,Hardback                        ,
Howey            ,Hugh                ,3     ,Wool | Dust                                                                 ,Sci-fi                ,Y                     ,Y                      ,                      9 ,                     7.5 ,Paperback Set                   ,
Hugo             ,Victor              ,      ,Les Miserables                                                              ,Historical Fiction    ,N                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
Jakobsen         ,Mette               ,      ,The Vanishing Act                                                           ,Fiction               ,Y                     ,N                      ,                      7 ,                         ,Paperback                       ,
James            ,E. L.               ,1     ,Fifty Shades | Fifty Shades of Grey                                         ,Romance               ,P                     ,N                      ,                      0 ,                         ,Paperback Boxset                ,
James            ,E. L.               ,2     ,Fifty Shades | Fifty Shades Darker                                          ,Romance               ,N                     ,N                      ,                        ,                         ,Paperback Boxset                ,
James            ,E. L.               ,3     ,Fifty Shades | Fifty Shades Freed                                           ,Romance               ,N                     ,N                      ,                        ,                         ,Paperback Boxset                ,
Kaufman          ,Andrew              ,      ,All My Friends are Superheroes                                              ,Humour                ,Y                     ,Y                      ,                     10 ,                    10   ,Paperback                       ,
Kaufman          ,Andrew              ,      ,Born Weird                                                                  ,Fiction               ,Y                     ,P                      ,                      8 ,                         ,Paperback                       ,
Kaufman          ,Andrew              ,      ,The Tiny Wife                                                               ,Fiction               ,Y                     ,Y                      ,                      7 ,                     8.5 ,Paperback                       ,
Kawaguchi        ,Toshikazu           ,      ,Before the Coffee Gets Cold                                                 ,Fantasy               ,Y                     ,Y                      ,                        ,                     7.5 ,Paperback                       ,Geoffrey Trousselot (Translator)
Kawakami         ,Mieko               ,      ,Breasts and Eggs                                                            ,Fiction               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Kellerman        ,Jesse               ,      ,The Brutal Art                                                              ,Thriller              ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Kelman           ,Stephen             ,      ,Pigeon English                                                              ,Coming-of-Age Fiction ,Y                     ,N                      ,                        ,                         ,Paperback                       ,
King             ,Claire              ,      ,The Night Rainbow                                                           ,Fiction               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Kingsolver       ,Barbara             ,      ,Flight Behaviour                                                            ,Coming-of-Age Fiction ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Kirkbride        ,Jasmin              ,      ,Believe in Yourself                                                         ,Self Help             ,N                     ,N                      ,                        ,                         ,Hardback                        ,
Klassen          ,John                ,      ,I Want My Hat Back                                                          ,Humour                ,Y                     ,Y                      ,                     10 ,                    10   ,Paperback                       ,
Klassen          ,John                ,      ,The Rock From The Sky                                                       ,Humour                ,Y                     ,Y                      ,                      8 ,                         ,Paperback                       ,
Ladybird         ,Ladybird            ,      ,A Treasury of Bedtime Stories and Rhymes                                    ,Anthology             ,Y                     ,N                      ,                        ,                         ,Hardback                        ,
Larsson          ,Stieg               ,1     ,The Millennium Series | The Girl with the Dragon Tattoo                     ,Thriller              ,N                     ,N                      ,                        ,                         ,Hardback Clothbound Set         ,
Larsson          ,Stieg               ,2     ,The Millennium Series | The Girl Who Played with Fire                       ,Thriller              ,N                     ,N                      ,                        ,                         ,Hardback Clothbound Set         ,
Larsson          ,Stieg               ,3     ,The Millennium Series | The Girl Who Kicked the Hornets' Nest               ,Thriller              ,N                     ,N                      ,                        ,                         ,Hardback Clothbound Set         ,
Le Guin          ,Ursula              ,      ,A Wizard of Earthsea                                                        ,Fantasy               ,Y                     ,Y                      ,                     10 ,                     9   ,Paperback Gifted                ,
Le Guin          ,Ursula              ,      ,The Books of Earthsea                                                       ,Fantasy               ,P                     ,P                      ,                        ,                         ,Hardback Illustrated Collection ,
